league,journey,season,date,hours,referee,stadium,team1,team2,name,shirtnumber,nationality,position,age,minutes,goals,assists_x,pens_made,pens_att,shots,shots_on_target,cards_yellow_x,cards_red_x,touches_x,tackles_x,interceptions_x,blocks_x,xg,npxg,xg_assist_x,sca,gca,passes_completed_x,passes_x,passes_pct_x,progressive_passes_x,carries_x,progressive_carries_x,take_ons_x,take_ons_won_x,passes_completed_y,passes_y,passes_pct_y,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists_y,xg_assist_y,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes_y,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses_x,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,tackles_y,tackles_won_x,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks_y,blocked_shots,blocked_passes,interceptions_y,tackles_interceptions,clearances,errors,touches_y,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_y,take_ons_won_y,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_y,carries_distance,carries_progressive_distance,progressive_carries_y,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_y,cards_red_y,cards_yellow_red,fouls,fouled,offsides,crosses_y,interceptions,tackles_won_y,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,link
Ligue 1,Journée 28,2024/2025,04/04/2025,20:45,Hakim Ben El Hadj Salem,Allianz Riviera,Nice,Nantes,Jonathan Clauss,92,FRA,"WB,RB",32-191,90,0,0,0,0,3,0,0,0,103,0,0,0,0.2,0.2,0.2,6,0,77,98,78.6,8,50,1,1,0,77,98,78.6,1272,475,41,46,89.1,29,32,90.6,6,17,35.3,0,0.2,0.5,2,9,7,3,8,98.0,74.0,24.0,2.0,0.0,0.0,19.0,11.0,11.0,3.0,5.0,0.0,77.0,0.0,2.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,103,0,4,35,64,3,103,1,0,0.0,1,100.0,50,187,115,1,2,0,0,2,62,19,0,0,0,0,0,0,19,0,0,0,0,0,5,0,1,0.0,,,,,,,,,,,,,,,,,,,,,https://fbref.com/fr/matchs/3b3118ec/Nice-Nantes-4-Avril-2025-Ligue-1
Ligue 1,Journée 28,2024/2025,04/04/2025,20:45,Hakim Ben El Hadj Salem,Allianz Riviera,Nice,Nantes,Mohamed Abdelmoneim,5,EGY,CB,26-062,90,0,0,0,0,0,0,0,0,112,3,0,1,0.0,0.0,0.0,3,0,95,98,96.9,15,60,1,1,0,95,98,96.9,1529,485,49,50,98.0,44,45,97.8,2,3,66.7,0,0.0,0.0,0,15,0,0,15,98.0,92.0,6.0,3.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,3,1,0,1,2,2,2,100.0,0,1,0,1,0,3,7,0,112,4,24,70,18,1,112,1,0,0.0,0,0.0,60,272,163,1,2,0,0,1,76,0,0,0,0,1,4,0,1,0,1,0,0,0,8,7,3,70.0,,,,,,,,,,,,,,,,,,,,,https://fbref.com/fr/matchs/3b3118ec/Nice-Nantes-4-Avril-2025-Ligue-1
Ligue 1,Journée 28,2024/2025,04/04/2025,20:45,Hakim Ben El Hadj Salem,Allianz Riviera,Nice,Nantes,Youssouf Ndayishimiye,55,BDI,CB,26-159,90,0,0,0,0,1,0,0,0,122,0,1,0,0.0,0.0,0.0,4,1,103,115,89.6,13,82,4,0,0,103,115,89.6,1805,585,35,41,85.4,64,65,98.5,4,9,44.4,0,0.0,0.1,0,19,1,0,13,115.0,111.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,122,1,24,91,8,1,122,0,0,,0,,82,514,344,4,2,0,0,0,91,2,0,0,0,1,0,0,0,1,0,0,0,0,8,3,4,42.9,,,,,,,,,,,,,,,,,,,,,https://fbref.com/fr/matchs/3b3118ec/Nice-Nantes-4-Avril-2025-Ligue-1
Ligue 1,Journée 28,2024/2025,04/04/2025,20:45,Hakim Ben El Hadj Salem,Allianz Riviera,Nice,Nantes,Moïse Bombito,64,CAN,CB,25-005,62,0,0,0,0,1,0,1,0,71,1,1,2,0.0,0.0,0.0,1,0,54,60,90.0,4,39,0,0,0,54,60,90.0,845,268,27,29,93.1,24,25,96.0,2,3,66.7,0,0.0,0.0,0,4,0,0,4,60.0,59.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,2.0,1,1,0,0,1,0,0,,0,2,2,0,1,2,3,1,71,2,11,45,16,0,71,0,0,,0,,39,200,119,0,3,0,2,0,50,1,1,0,0,2,1,0,1,1,1,0,0,0,4,0,2,0.0,,,,,,,,,,,,,,,,,,,,,https://fbref.com/fr/matchs/3b3118ec/Nice-Nantes-4-Avril-2025-Ligue-1
Ligue 1,Journée 28,2024/2025,04/04/2025,20:45,Hakim Ben El Hadj Salem,Allianz Riviera,Nice,Nantes,   Badredine Bouanani,19,ALG,AM,20-117,28,0,0,0,0,2,2,0,0,19,1,0,0,0.1,0.1,0.0,0,0,7,11,63.6,1,11,1,0,0,7,11,63.6,99,12,3,3,100.0,3,4,75.0,0,2,0.0,0,0.0,0.0,0,0,0,0,1,11.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1,0,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0,19,0,0,2,17,1,19,0,0,,0,,11,58,20,1,0,1,3,2,14,3,0,0,0,1,1,0,2,0,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,https://fbref.com/fr/matchs/3b3118ec/Nice-Nantes-4-Avril-2025-Ligue-1
Ligue 1,Journée 28,2024/2025,04/04/2025,20:45,Hakim Ben El Hadj Salem,Allianz Riviera,Nice,Nantes,Marcin Bułka,1,POL,GK,25-182,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,32,35,91.4,2,17,0,0,0,32,35,91.4,719,584,9,9,100.0,18,18,100.0,5,8,62.5,0,0.0,0.0,0,2,0,0,2,35.0,32.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,35,21,30,6,0,0,35,0,0,,0,,17,106,64,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,4.0,2.0,2.0,50.0,0.5,4.0,5.0,80.0,32.0,2.0,12.5,23.2,3.0,33.3,31.7,2.0,0.0,0.0,3.0,21.3,https://fbref.com/fr/matchs/3b3118ec/Nice-Nantes-4-Avril-2025-Ligue-1
Ligue 1,Journée 28,2024/2025,04/04/2025,20:45,Hakim Ben El Hadj Salem,Allianz Riviera,Nice,Nantes,Matthis Abline,39,FRA,FW,22-007,79,1,0,0,0,3,2,0,0,28,0,1,1,0.3,0.3,0.0,2,1,8,16,50.0,1,16,2,0,0,8,16,50.0,109,39,4,7,57.1,2,4,50.0,1,2,50.0,0,0.0,0.0,0,0,0,0,1,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,1,1,0,1,1,1,0,28,1,2,19,7,2,28,0,0,,0,,16,110,53,2,1,0,2,2,19,2,0,0,0,2,2,0,0,1,0,0,0,0,2,4,8,33.3,,,,,,,,,,,,,,,,,,,,,https://fbref.com/fr/matchs/3b3118ec/Nice-Nantes-4-Avril-2025-Ligue-1
Ligue 1,Journée 28,2024/2025,04/04/2025,20:45,Hakim Ben El Hadj Salem,Allianz Riviera,Nice,Nantes,   Johann Lepenant,8,FRA,RM,22-164,11,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,1,1,1,0,0,3,4,75.0,38,26,2,2,100.0,1,2,50.0,0,0,,0,0.0,0.0,0,1,0,0,1,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,5,0,1,4,0,0,5,0,0,,0,,1,12,9,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,https://fbref.com/fr/matchs/3b3118ec/Nice-Nantes-4-Avril-2025-Ligue-1
Ligue 1,Journée 28,2024/2025,04/04/2025,20:45,Hakim Ben El Hadj Salem,Allianz Riviera,Nice,Nantes,Moses Simon,27,NGA,"LW,LM",29-266,89,0,1,0,0,1,0,0,0,17,0,1,0,0.0,0.0,0.0,2,2,5,10,50.0,0,10,1,0,0,5,10,50.0,59,3,4,4,100.0,1,2,50.0,0,3,0.0,1,0.0,0.0,1,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,17,1,5,8,4,1,17,0,0,,0,,10,36,24,1,2,1,2,2,9,3,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,100.0,,,,,,,,,,,,,,,,,,,,,https://fbref.com/fr/matchs/3b3118ec/Nice-Nantes-4-Avril-2025-Ligue-1
Ligue 1,Journée 28,2024/2025,04/04/2025,20:45,Hakim Ben El Hadj Salem,Allianz Riviera,Nice,Nantes,   Dehmaine Assoumani,59,FRA,LM,19-352,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,0,1,0.0,0,0,0,0,,0,0,,0,1,0.0,0,0.0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,2,0,1,1,0,0,2,0,0,,0,,1,5,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,https://fbref.com/fr/matchs/3b3118ec/Nice-Nantes-4-Avril-2025-Ligue-1
Ligue 1,Journée 28,2024/2025,04/04/2025,20:45,Hakim Ben El Hadj Salem,Allianz Riviera,Nice,Nantes,Meschak Elia,17,COD,RW,27-241,73,0,0,0,0,2,0,0,0,31,2,0,1,0.1,0.1,0.0,2,0,11,16,68.8,2,17,1,3,1,11,16,68.8,179,78,6,8,75.0,4,4,100.0,1,3,33.3,0,0.0,0.0,0,1,0,0,2,,,,,,,,,,,,,,,,2,2,1,1,0,1,1,100.0,0,1,0,1,0,2,1,0,31,0,9,16,8,1,31,3,1,33.3,2,66.7,17,119,54,1,0,0,4,1,15,5,0,0,0,5,1,0,0,0,2,0,0,0,11,1,3,25.0,,,,,,,,,,,,,,,,,,,,,https://fbref.com/fr/matchs/3b3118ec/Nice-Nantes-4-Avril-2025-Ligue-1
Ligue 1,Journée 28,2024/2025,04/04/2025,20:45,Hakim Ben El Hadj Salem,Allianz Riviera,Nice,Nantes,   Marcus Coco,11,FRA,RB,28-284,17,0,0,0,0,0,0,0,0,12,1,1,0,0.0,0.0,0.0,0,0,3,7,42.9,0,2,0,0,0,3,7,42.9,41,0,1,2,50.0,2,5,40.0,0,0,,0,0.0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,1,1,0,1,0,1,1,100.0,0,0,0,0,1,2,3,0,12,2,4,7,1,0,12,0,0,,0,,2,17,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,https://fbref.com/fr/matchs/3b3118ec/Nice-Nantes-4-Avril-2025-Ligue-1
Ligue 1,Journée 28,2024/2025,04/04/2025,20:45,Hakim Ben El Hadj Salem,Allianz Riviera,Nice,Nantes,Nicolas Cozza,3,FRA,"LM,LB",26-086,90,0,0,0,0,0,0,0,0,36,4,4,2,0.0,0.0,0.0,0,0,12,16,75.0,0,7,0,0,0,12,16,75.0,174,95,7,8,87.5,5,7,71.4,0,1,0.0,0,0.0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,4,3,4,0,0,2,3,66.7,1,2,2,0,4,8,8,0,36,8,30,4,2,0,36,0,0,,0,,7,40,22,0,0,0,1,1,7,0,0,0,0,1,1,0,0,4,3,0,0,0,3,2,0,100.0,,,,,,,,,,,,,,,,,,,,,https://fbref.com/fr/matchs/3b3118ec/Nice-Nantes-4-Avril-2025-Ligue-1
Ligue 1,Journée 28,2024/2025,04/04/2025,20:45,Hakim Ben El Hadj Salem,Allianz Riviera,Nice,Nantes,Louis Leroux,66,FRA,CM,19-071,90,0,0,0,0,1,1,0,0,29,4,1,2,0.0,0.0,0.1,2,0,12,15,80.0,2,5,1,1,0,12,15,80.0,157,25,8,9,88.9,4,5,80.0,0,0,,0,0.1,0.0,1,1,1,0,2,,,,,,,,,,,,,,,,4,2,1,3,0,1,2,50.0,1,2,0,2,1,5,6,0,29,4,14,18,2,0,29,1,0,0.0,1,100.0,5,106,49,1,2,1,1,1,5,0,0,0,0,0,0,0,0,1,2,0,0,0,7,0,1,0.0,,,,,,,,,,,,,,,,,,,,,https://fbref.com/fr/matchs/3b3118ec/Nice-Nantes-4-Avril-2025-Ligue-1
Ligue 1,Journée 28,2024/2025,04/04/2025,20:45,Hakim Ben El Hadj Salem,Allianz Riviera,Nice,Nantes,Douglas,6,BRA,CM,28-081,90,1,0,0,0,1,1,0,0,44,3,3,2,0.0,0.0,0.0,1,0,22,30,73.3,4,8,0,0,0,22,30,73.3,313,116,12,13,92.3,9,11,81.8,0,1,0.0,0,0.0,0.0,0,1,0,0,4,,,,,,,,,,,,,,,,3,2,2,1,0,0,0,,0,2,0,2,3,6,2,0,44,3,10,31,3,0,44,0,0,,0,,8,20,12,0,0,0,3,1,14,1,0,0,0,2,0,0,0,3,2,0,0,0,7,3,2,60.0,,,,,,,,,,,,,,,,,,,,,https://fbref.com/fr/matchs/3b3118ec/Nice-Nantes-4-Avril-2025-Ligue-1
Ligue 1,Journée 28,2024/2025,04/04/2025,20:45,Hakim Ben El Hadj Salem,Allianz Riviera,Nice,Nantes,Sorba Thomas,22,WAL,RM,25-225,73,0,0,0,0,0,0,0,0,38,2,2,2,0.0,0.0,0.0,0,0,11,24,45.8,2,18,0,1,0,11,24,45.8,200,38,1,3,33.3,9,12,75.0,0,7,0.0,0,0.0,0.0,0,1,0,0,2,,,,,,,,,,,,,,,,2,1,2,0,0,2,2,100.0,0,2,1,1,2,4,6,0,38,7,16,16,6,0,38,1,0,0.0,1,100.0,18,62,34,0,0,0,0,3,15,1,0,0,0,0,0,0,3,2,1,0,0,0,3,1,3,25.0,,,,,,,,,,,,,,,,,,,,,https://fbref.com/fr/matchs/3b3118ec/Nice-Nantes-4-Avril-2025-Ligue-1
Ligue 1,Journée 28,2024/2025,04/04/2025,20:45,Hakim Ben El Hadj Salem,Allianz Riviera,Nice,Nantes,   Mostafa Mohamed,31,EGY,"FW,RM",27-127,17,0,0,0,0,0,0,0,0,9,1,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,3,0,1,0,1,3,33.3,25,12,0,1,0.0,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,9,0,2,6,1,0,9,1,0,0.0,1,100.0,3,6,2,0,0,0,2,2,6,1,0,0,0,2,0,0,0,0,0,0,0,0,2,3,2,60.0,,,,,,,,,,,,,,,,,,,,,https://fbref.com/fr/matchs/3b3118ec/Nice-Nantes-4-Avril-2025-Ligue-1
